OBJECTID,OBJECTID_1,Polo_irrig,Tipologia,ID2,ha_bacia,ai_total,ai_irrigada,ai_fertirrig,pot_total,pot_efetivo,Shape_Length,Shape_Area
1,1,Alto Araguaia,Pivô Central,10,880193.918,24350.96692,24350.96692,0,138064.68,2174.018895,5.13518845312888,0.741182286831718
2,2,Alto Araguari-Paranaíba,Pivô Central,11,1776107.718,109783.0202,90045.7274,19737,309109.26,139778.7509,8.51293426159454,1.52806823477822
3,3,Alto Jacuí,Pivô Central,12,1464129.163,29525.79116,29525.79116,0,335077.67,278129.0551,6.38431867315985,1.21189591493287
4,4,Alto Paracatu / Entre Ribeiros,Pivô Central,13,1688483.968,134927.4905,134927.4905,0,143071.74,32204.4058,9.1318347613112,1.37838889963352
5,5,Alto Paranapanema,Pivô Central,14,2296108.375,140240.6247,116719.0373,23522,426842.79,231428.1001,10.3715115995737,2.03296526743335
6,6,Alto Rio das Mortes,Pivô Central,15,1647361.38,72292.47094,72292.47094,0,457918.69,384641.9459,8.47259994336125,1.38613795493949
7,7,Alto Rio Preto,Pivô Central,16,321392.6549,24255.458,24255.458,0,35180.72,27028.89786,3.02228940917096,0.268853447569959
8,8,Alto Teles Pires,Pivô Central,17,2571146.521,63573.32138,63573.32138,0,773460.04,703496.6642,10.0520907176929,2.14044786380712
9,9,Guaíra / Miguelópolis,Pivô Central,18,1361810.825,317665.5254,60901.00876,256765,317733.08,81272.21784,7.70982773623592,1.177393798956
10,10,Jaíba,Outros,26,148665.634,35636.73438,35636.73438,0,4993.6,26.64208576,2.32909749971909,0.124989148376967
11,11,Lagoa dos Patos,Arroz por Inundação,2,2139353.34,243404.1141,243404.1141,0,148072.19,98037.89256,21.9167029873184,1.93197162266797
12,12,Lagoa Mirim / São Gonçalo,Arroz por Inundação,3,1480268.109,134966.6274,134966.6274,0,97031.17,65397.07935,10.1224498821143,1.4982441576137
13,13,Mampituba,Arroz por Inundação,6,780851.4869,110865.4197,110865.4197,0,151698.45,89023.24606,7.98462921258263,0.721189341823161
14,14,Médio Jacuí,Arroz por Inundação,4,3114526.847,155187.4282,155187.4282,0,425770.58,297330.9334,11.5481236621071,2.96697346335461
15,15,Mucugê-Ibicoara,Pivô Central,24,196993.6348,17037.65202,17037.65202,0,6772.16,321.8646731,2.50257457370968,0.164263002525332
16,16,Norte Catarinense,Arroz por Inundação,5,373118.6643,31333.61956,31333.61956,0,75453.82,27702.36308,5.82347555923989,0.33852518752777
17,17,Oeste Baiano,Pivô Central,19,5919917.472,181045.8578,181045.8578,0,313985.85,67278.94274,19.6075775211025,4.93428903228573
18,18,Petrolina / Juazeiro,Outros,27,646531.9264,93900.09495,93900.09495,0,32033.82,539.5571447,5.95320857753106,0.532028643094669
19,19,Quaraí / Ibicuí / Icamaquã,Arroz por Inundação,7,3516254.963,330639.9098,330639.9098,0,145734.71,106730.6887,19.8268280739579,3.21695485817291
20,20,Rio das Almas,Pivô Central,20,1892224.32,53988.34403,53988.34403,0,205079.64,40633.27001,7.56302610674538,1.59367954754828
21,21,Rio Negro,Arroz por Inundação,8,346456.4078,16136.11802,16136.11802,0,5575.23,3434.462927,3.36452690031314,0.303995744960553
22,22,Santa Maria/ Ibicu da Armada,Arroz por Inundação,9,1433745.381,87633.92782,87633.92782,0,51008.19,30911.1016,8.13376487863015,1.48229325409336
23,23,São Marcos,Pivô Central,21,895849.8102,97882.92868,97882.92868,0,108810.42,50970.06625,6.78640514633007,0.819498870630914
24,24,Uruguai,Pivô Central,22,3511053.348,72440.4707,72440.4707,0,572413.22,475582.6336,12.7855276264578,3.30978529988324
25,25,Vertentes do Rio Pardo e Mogi Guaçu,Pivô Central,23,1097087.5,129286.7882,50417.53498,78869,232575.45,65988.50059,5.92214981517664,0.958532797213606
26,26,Norte do Espírito Santo,Outros,28,1622939.139,183780.5136,169920.5927,13860,80898.22,39292.69882,9.38683845870259,1.3901063536372
27,27,Javaés/Formoso,Arroz por Inundação,1,1364947.61,113092.6974,113092.6974,0,30548.35,4594.135521,8.24972206680679,1.12923259853315
28,28,Jaguaribe,Outros,25,552629.9537,34927.38911,34927.38911,0,28859.77,3697.86989,6.42765359305003,0.450652448855571
